index,partition,label,gloss,original_filename
34,train,16,DECIDE1,08003931001097664-DECIDE.mp4
35,train,44,ROCKINGCHAIR1,1420171385528981-ROCKING CHAIR.mp4
36,train,7,BREAKFAST1,9636912643721647-BREAKFAST.mp4
37,train,15,DEAF1,7822434515793355-DEAF.mp4
38,train,11,CHRISTMAS1,39156258358370355-CHRISTMAS.mp4
39,train,37,NIGHT1,09459364825922179-NIGHT.mp4
40,train,9,CANCEL1,10420903219156519-CANCEL.mp4
41,train,4,BELIEVE1,9724596719903091-BELIEVE.mp4
42,train,28,HALLOWEEN1,6929838002903266-HALLOWEEN.mp4
43,train,18,DINNER1,48046366607913615-DINNER.mp4
44,train,23,EDIT1,787280411475551-EDIT.mp4
45,train,43,RIVER1,3476425948425619-RIVER.mp4
46,train,0,AXE1,23099527328070546-AXE.mp4
47,train,19,DOG1,49801930250928317-DOG.mp4
48,train,47,TWINS1,6356650419987919-TWINS.mp4
49,train,18,DINNER1,9434171694753406-DINNER.mp4
0,val,4,BELIEVE1,02063726036025959-BELIEVE.mp4
1,val,12,CLOUD1,46356559371350636-CLOUD.mp4
2,val,49,WHATFOR1,6523145816470133-WHAT FOR.mp4
3,val,2,BASKETBALL1,8423017864044668-BASKETBALL.mp4
4,val,35,MICROSCOPE1,10557248501909733-MICROSCOPE.mp4
5,val,27,GUESS1,3049387689711547-GUESS.mp4
6,val,22,EAT1,744008724339543-EAT.mp4
7,val,19,DOG1,799770954333842-DOG.mp4
8,val,3,BEE1,844429155260962-BEE.mp4
9,val,32,LOCK1,6331495804836855-LOCK.mp4
10,val,33,LUNCH1,5796656512680336-LUNCH.mp4
11,val,48,TYPE1,7669820180507951-TYPE.mp4
12,val,46,SPECIAL1,13539919271011525-SPECIAL.mp4
13,val,24,ELEVATOR1,946511360551606-ELEVATOR.mp4
14,val,49,WHATFOR1,06408604416165864-WHAT FOR.mp4
15,val,24,ELEVATOR1,7779283353983693-ELEVATOR.mp4
16,val,45,SHAVE1,6961575623504714-SHAVE.mp4
17,val,42,RESEARCH1,34157339143472587-RESEARCH.mp4
18,val,37,NIGHT1,08017581684003039-NIGHT.mp4
19,val,43,RIVER1,3054167723169219-RIVER.mp4
20,val,31,LETTUCE1,11106297535406573-LETTUCE.mp4
21,val,12,CLOUD1,6820800100029216-CLOUD.mp4
22,val,8,CALENDAR1,8261637986943131-CALENDAR.mp4
23,val,20,DOWNSIZE1,027532349402833-DOWNSIZE.mp4
24,val,31,LETTUCE1,6957566762765468-LETTUCE.mp4
25,val,45,SHAVE1,3423044704100937-SHAVE.mp4
26,val,40,PATIENT2,06585822033156608-PATIENT 2.mp4
27,val,25,FINE1,006951411960890663-FINE.mp4
28,val,29,HOSPITAL1,03617049378353854-HOSPITAL.mp4
29,val,26,FOREIGNER1,9807434252985743-FOREIGNER.mp4
30,val,36,MOVIE1,39474504957896217-MOVIE.mp4
31,val,17,DEMAND1,2642023468678638-DEMAND.mp4
32,val,33,LUNCH1,2553847483769758-LUNCH.mp4
33,val,38,NOON1,15347326711184706-NOON.mp4
34,val,15,DEAF1,4095802504728605-DEAF.mp4
35,val,44,ROCKINGCHAIR1,6050297960065525-ROCKING CHAIR.mp4
36,val,30,HURDLE/TRIP1,20458224320425433-HURDLE-TRIP.mp4
37,val,39,PARTY1,878457250310533-PARTY.mp4
38,val,3,BEE1,9643359504766531-BEE.mp4
39,val,47,TWINS1,7359133874002342-TWINS.mp4
40,val,10,CANCER1,12571170729550118-CANCER.mp4
41,val,9,CANCEL1,26512248742191624-CANCEL.mp4
42,val,41,RECENT1,841837465314367-RECENT.mp4
43,val,42,RESEARCH1,7988259303956917-RESEARCH.mp4
44,val,3,BEE1,8230215745582212-BEE.mp4
45,val,32,LOCK1,4974799671016843-LOCK.mp4
46,val,33,LUNCH1,5530107164077924-LUNCH.mp4
47,val,48,TYPE1,6536567634874919-TYPE.mp4
48,val,1,BACKPACK1,9990244640190733-BACKPACK.mp4
49,val,23,EDIT1,4929421496977151-EDIT.mp4
0,test,46,SPECIAL1,6425246898229175-SPECIAL.mp4
1,test,24,ELEVATOR1,7321586591293114-ELEVATOR.mp4
2,test,49,WHATFOR1,9684934734400592-WHAT FOR.mp4
3,test,24,ELEVATOR1,9859158369118783-ELEVATOR.mp4
4,test,45,SHAVE1,45913985094539034-SHAVE.mp4
5,test,42,RESEARCH1,3281127368953569-RESEARCH.mp4
6,test,37,NIGHT1,21366113819079557-NIGHT.mp4
7,test,43,RIVER1,8338554842463526-RIVER.mp4
8,test,31,LETTUCE1,9390647922237925-LETTUCE.mp4
9,test,12,CLOUD1,5258592651500764-CLOUD.mp4
10,test,8,CALENDAR1,05469657086044322-CALENDAR.mp4
11,test,34,MECHANIC1,3248125439606664-MECHANIC.mp4
12,test,5,BELT1,492085987654973-BELT.mp4
13,test,36,MOVIE1,8229673832022837-MOVIE.mp4
14,test,22,EAT1,7910128481289247-EAT.mp4
15,test,48,TYPE1,9957146339735443-TYPE.mp4
16,test,16,DECIDE1,11276204524425326-DECIDE.mp4
17,test,20,DOWNSIZE1,23918615846797597-DOWNSIZE.mp4
18,test,42,RESEARCH1,6086597084496719-RESEARCH.mp4
19,test,4,BELIEVE1,43763722931329374-BELIEVE.mp4
20,test,12,CLOUD1,21008342345817876-CLOUD.mp4
21,test,49,WHATFOR1,2748457214117681-WHAT FOR.mp4
22,test,2,BASKETBALL1,9644274787195919-BASKETBALL.mp4
23,test,35,MICROSCOPE1,5676798007009973-MICROSCOPE.mp4
24,test,27,GUESS1,11389369287628259-GUESS.mp4
25,test,22,EAT1,4641646458517976-EAT.mp4
26,test,19,DOG1,8431311301031601-DOG.mp4
27,test,3,BEE1,5892785858379128-BEE.mp4
28,test,21,DRAG1,5973822525316321-DRAG.mp4
29,test,2,BASKETBALL1,5552456698729644-BASKETBALL.mp4
30,test,15,DEAF1,7322377994548119-DEAF.mp4
31,test,44,ROCKINGCHAIR1,0023118276702314144-ROCKING CHAIR.mp4
32,test,30,HURDLE/TRIP1,5370498643647836-HURDLE-TRIP.mp4
33,test,39,PARTY1,207441560328397-PARTY.mp4
34,test,1,BACKPACK1,34491853927581917-BACKPACK.mp4
35,test,7,BREAKFAST1,42918137348904106-BREAKFAST.mp4
36,test,19,DOG1,41235392187392317-DOG.mp4
37,test,14,DARK1,4735989644399585-DARK.mp4
38,test,27,GUESS1,01603320772096839-GUESS.mp4
39,test,17,DEMAND1,20426405054980679-DEMAND.mp4
40,test,26,FOREIGNER1,8157940154781618-FOREIGNER.mp4
41,test,20,DOWNSIZE1,4857135026643289-DOWNSIZE.mp4
42,test,30,HURDLE/TRIP1,10105426893804847-HURDLE-TRIP.mp4
43,test,8,CALENDAR1,4052017389201119-CALENDAR.mp4
44,test,49,WHATFOR1,6734748834983595-WHAT FOR.mp4
45,test,40,PATIENT2,1363777633602654-PATIENT 2.mp4
46,test,32,LOCK1,9775762322894266-LOCK.mp4
47,test,5,BELT1,11143309153181202-BELT.mp4
48,test,29,HOSPITAL1,7174661485702265-HOSPITAL.mp4
49,test,2,BASKETBALL1,9065308331231714-BASKETBALL.mp4
